ba,ba_name,latitude,longitude
AEC,PowerSouth Energy Cooperative,31.3,-86.5
AECI,"Associated Electric Cooperative, Inc.",38.0,-92.5
AESO,Alberta Electric System Operator,53.9,-113.5
AVA,Avista Corporation,47.7,-117.4
AVRN,"Avangrid Renewables, LLC",45.7,-120.6
AZPS,Arizona Public Service Company,33.6,-112.1
BANC,Balancing Authority of Northern California,38.6,-121.4
BCHA,British Columbia Hydro and Power Authority,52.5,-122.5
BPAT,Bonneville Power Administration,46.0,-119.5
CEN,Centro Nacional de Control de Energia,30.0,-107.0
CHPD,Public Utility District No. 1 of Chelan County,47.8,-120.3
CISO,California Independent System Operator,36.5,-119.5
CPLE,Duke Energy Progress East,35.5,-78.5
CPLW,Duke Energy Progress West,35.6,-82.6
DEAA,"Arlington Valley, LLC",33.3,-112.9
DOPD,PUD No. 1 of Douglas County,47.9,-119.7
DUK,Duke Energy Carolinas,35.2,-81.0
EEI,"Electric Energy, Inc.",37.2,-88.9
EPE,El Paso Electric Company,31.8,-106.4
ERCO,"Electric Reliability Council of Texas, Inc.",31.0,-99.0
FMPP,Florida Municipal Power Pool,28.5,-81.4
FPC,"Duke Energy Florida, Inc.",28.9,-82.3
FPL,Florida Power & Light Co.,27.0,-80.7
GCPD,"Public Utility District No. 2 of Grant County, Washington",47.2,-119.3
GLHB,GridLiance,37.1,-88.6
GRID,"Gridforce Energy Management, LLC",45.6,-123.0
GRIF,"Griffith Energy, LLC",35.2,-114.0
GVL,Gainesville Regional Utilities,29.7,-82.3
GWA,"NaturEner Power Watch, LLC",48.5,-111.9
HGMA,"New Harquahala Generating Company, LLC",33.5,-113.1
HQT,Hydro-Quebec TransEnergie,50.5,-72.0
HST,City of Homestead,25.5,-80.5
IESO,Ontario IESO,45.4,-79.4
IID,Imperial Irrigation District,33.0,-115.5
IPCO,Idaho Power Company,43.4,-115.8
ISNE,ISO New England,43.5,-71.5
JEA,JEA,30.3,-81.7
LDWP,Los Angeles Department of Water and Power,34.1,-118.2
LGEE,"LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company",37.8,-85.5
MHEB,Manitoba Hydro,51.0,-97.5
MISO,"Midcontinent Independent System Operator, Inc.",41.0,-91.0
NBSO,New Brunswick System Operator,46.5,-66.0
NEVP,Nevada Power Company,36.2,-115.1
NSB,Utilities Commission of New Smyrna Beach,29.0,-80.9
NWMT,NorthWestern Corporation,46.6,-111.0
NYIS,New York Independent System Operator,42.9,-75.5
PACE,PacifiCorp East,41.0,-111.0
PACW,PacifiCorp West,44.0,-122.5
PGE,Portland General Electric Company,45.4,-122.4
PJM,"PJM Interconnection, LLC",40.0,-79.5
PNM,Public Service Company of New Mexico,35.1,-106.6
PSCO,Public Service Company of Colorado,39.6,-105.0
PSEI,"Puget Sound Energy, Inc.",47.6,-122.2
SC,South Carolina Public Service Authority,33.4,-80.0
SCEG,"Dominion Energy South Carolina, Inc.",34.0,-81.0
SCL,Seattle City Light,47.6,-122.3
SEC,Seminole Electric Cooperative,29.6,-81.7
SEPA,Southeastern Power Administration,34.1,-82.9
SIKE,Sikeston Board of Municipal Utilities,36.9,-89.6
SOCO,"Southern Company Services, Inc. - Trans",32.5,-85.5
SPA,Southwestern Power Administration,36.2,-95.9
SPC,Saskatchewan Power Corporation,52.0,-106.0
SRP,Salt River Project Agricultural Improvement and Power District,33.4,-111.8
SWPP,Southwest Power Pool,39.5,-98.0
TAL,City of Tallahassee,30.4,-84.3
TEC,Tampa Electric Company,27.9,-82.4
TEPC,Tucson Electric Power,32.2,-110.9
TIDC,Turlock Irrigation District,37.5,-120.8
TPWR,"City of Tacoma, Department of Public Utilities, Light Division",47.2,-122.4
TVA,Tennessee Valley Authority,35.5,-86.4
WACM,Western Area Power Administration - Rocky Mountain Region,40.8,-106.3
WALC,Western Area Power Administration - Desert Southwest Region,34.0,-113.5
WAUW,Western Area Power Administration - Upper Great Plains West,46.8,-106.9
WWA,"NaturEner Wind Watch, LLC",48.3,-111.6
YAD,"Alcoa Power Generating, Inc. - Yadkin Division",35.4,-80.1
